Place,lat,lng,Site,Notes,Comment,url_image,img
"Ciudad de Buenos Aires, Argentina",-34.6036844,-58.3815591,Visit to Argentine Socialist Alfredo Palacios,Aeropuerto de salida,"""I leave with the feeling of having had en exchange with an ancient gentleman. Deep down, I find it har to believe that men of such ideas and such language are capable of taking the masses from the influence of Peronist demagogy. Not only times change, I thought, not only children come of age. Men and ideas also grow older.""","""https://ojourbano.com.ar/wp-content/uploads/2018/02/Obelisco-3.jpg""","<img src = 'https://ojourbano.com.ar/wp-content/uploads/2018/02/Obelisco-3.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>
"
Belgrade Airport,44.818745,20.402124,Arrival,Aeropuerto de llegada,"""Several leading cadre were waiting for us.""","""https://i.imgur.com/yJWsD4w.jpg""",<img src = 'https://i.imgur.com/yJWsD4w.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>
"Hotel Moskva, Belgrade",44.8130277,20.4604305,"Hotel Moskva, Belgrade",Alojamiento,"""...an old structure of the beginning of the 20th century, which has never chage its name, not even in the years when they had broken with the Soviets.""","""https://cdn.verbolia.com/api/images/H4sIAAAAAAAEAFWQy2rDMBBFf8VoXVmKG1rjXRMo2QQKTenSjOWJrESyjDyOQ0v!vXLtBLqcOw!OmW!2ESwrWEPU9YUQxoHGnst1WqNV4DrkPQEZlbZIsatLC0GjgEGR8a2QUoosy0X+nIl8!VRKuSortDpAHTcxVAZ4hX6qucKWMPDGE1rufH++AI8BfJkT8g5aH8AZxS8GR67i4ceVTE+dZg!sFaytQJ3!s47jeKdc8CZ4UeMRBkvcEDr+h7uc2cPV/uMHt0OiGWJFJec8+TU1NjPIYvdhI1QLhAa9xjG1uPu+zz2bxSbaz0G4SSvaz0OEmlGwhECZvPv7PYsJ+fgHgbqlBawEAAA==/belgrade-serbia-beograd-center-hotel-moskva-terazije-carte-postale.jpg""",<img src = 'https://cdn.verbolia.com/api/images/H4sIAAAAAAAEAFWQy2rDMBBFf8VoXVmKG1rjXRMo2QQKTenSjOWJrESyjDyOQ0v!vXLtBLqcOw!OmW!2ESwrWEPU9YUQxoHGnst1WqNV4DrkPQEZlbZIsatLC0GjgEGR8a2QUoosy0X+nIl8!VRKuSortDpAHTcxVAZ4hX6qucKWMPDGE1rufH++AI8BfJkT8g5aH8AZxS8GR67i4ceVTE+dZg!sFaytQJ3!s47jeKdc8CZ4UeMRBkvcEDr+h7uc2cPV/uMHt0OiGWJFJec8+TU1NjPIYvdhI1QLhAa9xjG1uPu+zz2bxSbaz0G4SSvaz0OEmlGwhECZvPv7PYsJ+fgHgbqlBawEAAA==/belgrade-serbia-beograd-center-hotel-moskva-terazije-carte-postale.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>
Zrece,46.3696591,15.3918526,Self-managed commune,"Zona de Brinjevagora, Eslovenia","""Of its 700 inhabitants, only one does not take part in the cooperative""","""https://upload.wikimedia.org/wikipedia/commons/7/75/Tovarna_kovanega_orodja_v_Zre%C4%8Dah_1961_%283%29.jpg""",<img src = 'https://upload.wikimedia.org/wikipedia/commons/7/75/Tovarna_kovanega_orodja_v_Zre%C4%8Dah_1961_%283%29.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>
"Agrarnka Banka, Beograd",44.8125573,20.463721,"SSRNJ, Central Committee",Reunión,"""The building was built in times of the Monarchy to be occupied by the Agrarian Bank""","""http://beogradskonasledje.rs/kd/zavod/stari_grad/images/agrarna_banka/0_agrarna-banka-2-v.jpg""",<img src = 'http://beogradskonasledje.rs/kd/zavod/stari_grad/images/agrarna_banka/0_agrarna-banka-2-v.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>
Kalemegdan,44.8231826,20.4504791,Museum of the War of Liberation in Serbia,,"""It lies in the very ancient Roman-Turkish fortress of Kalemegdan""","""https://live.staticflickr.com/678/31818674203_e5ce6c7ee8_b.jpg""",<img src = 'https://live.staticflickr.com/678/31818674203_e5ce6c7ee8_b.jpg' style='height: 100%; width: 100%; object-fit: contain'/>
Ljubljana,46.059286,14.495289,Museum of the War of Liberation in Slovenia,,"""It holds a mural painting that says 'What is someone else's, we do not want; what is ours, we do not give' """,https://img.rtvslo.si/_up/archive/Kultura/drugo/muzej_ga7.jpg',<img src = 'https://img.rtvslo.si/_up/archive/Kultura/drugo/muzej_ga7.jpg' style='height: 100%; width: 100%; object-fit: contain'/>
"Museum of Modern Art, Zagreb",45.7788821,15.9818618,Museum of Modern Art,,"""I remember seeing a sculpture by Vanja Radaus called 'The Executioner'"".","""https://i.pinimg.com/474x/53/7a/52/537a52918920c43b1f5641751af5af48.jpg""","
<img src = 'https://i.pinimg.com/474x/53/7a/52/537a52918920c43b1f5641751af5af48.jpg' style='height: 100%; width: 100%; object-fit: contain'/>
"
"Tito House, Kumrovec",46.0760348,15.6775854,Tito's Birthplace,,"""In the doors, a sign says 'Comrade Tito was born here'. Nothing else. Not a sign of the tropical exuberance of a Trujillo, or a Somoza""",https://upload.wikimedia.org/wikipedia/commons/c/c8/Rojstna_hi%C5%A1a_Josipa_Broza_Tita_v_Kumrovcu_1958.jpg',"
<img src = 'https://upload.wikimedia.org/wikipedia/commons/c/c8/Rojstna_hi%C5%A1a_Josipa_Broza_Tita_v_Kumrovcu_1958.jpg' style='height: 100%; width: 100%; object-fit: contain'/>"
Bosna river,44.4481576,18.1583259,Restaurant by the Bosna River,Restaurante,,https://visoko.co.ba/wp-content/uploads/2016/08/rijeka_bosna_visoko1.jpg',"
<img src = 'https://visoko.co.ba/wp-content/uploads/2016/08/rijeka_bosna_visoko1.jpg'' style='height: 100%; width: 100%; object-fit: contain'/>"
